0.2.262.1.10, Telesec
2.16.840.1.113730.1.11, UserPicture
2.16.840.1.113730.1.12, netscape-ssl-server-name
2.16.840.1.113730.1.13, netscape-comment
2.16.840.1.113730.1.2, netscape-base-url
2.16.840.1.113730.1.3, netscape-revocation-url
2.16.840.1.113730.1.4, netscape-ca-revocation-url
2.16.840.1.113730.1.7, netscape-cert-renewal-url
2.16.840.1.113730.1.8, netscape-ca-policy-url
2.16.840.1.113730.1.9, HomePage-url
2.16.840.1.113730.2, data-type
2.16.840.1.113730.2.1, GIF
2.16.840.1.113730.2.2, JPEG
2.16.840.1.113730.2.3, URL
2.16.840.1.113730.2.4, HTML
2.16.840.1.113730.2.5, netscape-cert-sequence
2.16.840.1.113730.2.6, netscape-cert-url
2.16.840.1.113730.3, directory
2.16.840.1.113730.3.1, ldapDefinitions
2.16.840.1.113730.3.1.1, carLicense
2.16.840.1.113730.3.1.2, departmentNumber
2.16.840.1.113730.3.1.3, employeeNumber
2.16.840.1.113730.3.1.4, employeeType
2.16.840.1.113730.3.2.2, inetOrgPerson
2.16.840.1.113730.4.1, serverGatedCrypto
2.16.840.1.113733.1, pki
2.16.840.1.113733.1.6.11, verisignOnsiteJurisdictionHash
2.16.840.1.113733.1.6.13, Unknown Verisign VPN extension
2.16.840.1.113733.1.6.15, verisignServerID
2.16.840.1.113733.1.6.3, Unknown Verisign extension
2.16.840.1.113733.1.6.6, Unknown Verisign extension
2.16.840.1.113733.1.7.1.1, Verisign certificatePolicy
2.16.840.1.113733.1.7.1.1.1, Unknown Verisign policy qualifier
2.16.840.1.113733.1.7.1.1.2, Unknown Verisign policy qualifier
2.16.840.1.113733.1.7.23.6, verisignEVPolicy
2.16.840.1.113733.1.8.1, verisignISSStrongCrypto
2.16.840.1.113733.1.9, pkcs7Attribute
2.16.840.1.113733.1.9.2, messageType
2.16.840.1.113733.1.9.3, pkiStatus
2.16.840.1.113733.1.9.4, failInfo
2.16.840.1.113733.1.9.5, senderNonce
2.16.840.1.113733.1.9.6, recipientNonce
2.16.840.1.113733.1.9.7, transID
2.16.840.1.113733.1.9.8, extensionReq
2.23.133, TCPA
2.23.133.1, tcpa_specVersion
2.23.133.2, tcpa_attribute
2.23.133.2.1, tcpa_at_tpmManufacturer
2.23.133.2.10, tcpa_at_securityQualities
2.23.133.2.11, tcpa_at_tpmProtectionProfile
2.23.133.2.12, tcpa_at_tpmSecurityTarget
2.23.133.2.13, tcpa_at_foundationProtectionProfile
2.23.133.2.14, tcpa_at_foundationSecurityTarget
2.23.133.2.15, tcpa_at_tpmIdLabel
2.23.133.2.2, tcpa_at_tpmModel
2.23.133.2.3, tcpa_at_tpmVersion
2.23.133.2.4, tcpa_at_platformManufacturer
2.23.133.2.5, tcpa_at_platformModel
2.23.133.2.6, tcpa_at_platformVersion
2.23.133.2.7, tcpa_at_componentManufacturer
2.23.133.2.8, tcpa_at_componentModel
2.23.133.2.9, tcpa_at_componentVersion
2.23.133.3, tcpa_protocol
2.23.133.3.1, tcpa_prtt_tpmIdProtocol
2.23.136, id-icao
2.23.136.1, id-icao-mrtd
2.23.136.1.1, id-icao-mrtd-security
2.23.136.1.1.1, id-icao-ldsSecurityObject
2.23.136.1.1.2, id-icao-cscaMasterList
2.23.136.1.1.3, id-icao-cscaMasterListSigningKey
2.23.42.0, contentType
2.23.42.0.0, PANData
2.23.42.0.1, PANToken
2.23.42.0.2, PANOnly
2.23.42.1, msgExt
2.23.42.10, national
2.23.42.10.192, Japan
2.23.42.10.392, Japan
2.23.42.2, field
2.23.42.2.0, fullName
2.23.42.2.1, givenName
2.23.42.2.10, amount
2.23.42.2.11, accountNumber
2.23.42.2.12, passPhrase
2.23.42.2.2, familyName
2.23.42.2.3, birthFamilyName
2.23.42.2.4, placeName
2.23.42.2.5, identificationNumber
2.23.42.2.6, month
2.23.42.2.7, date
2.23.42.2.7.11, accountNumber
2.23.42.2.7.12, passPhrase
2.23.42.2.8, address
2.23.42.2.9, telephone
2.23.42.3, attribute
2.23.42.3.0, cert
2.23.42.3.0.0, rootKeyThumb
2.23.42.3.0.1, additionalPolicy
2.23.42.4, algorithm
2.23.42.5, policy
2.23.42.5.0, root
2.23.42.6, module
2.23.42.7, certExt
2.23.42.7.0, hashedRootKey
2.23.42.7.1, certificateType
2.23.42.7.2, merchantData
2.23.42.7.3, cardCertRequired
2.23.42.7.4, tunneling
2.23.42.7.5, setExtensions
2.23.42.7.6, setQualifier
2.23.42.8, brand
2.23.42.8.1, IATA-ATA
2.23.42.8.30, Diners
2.23.42.8.34, AmericanExpress
2.23.42.8.4, VISA
2.23.42.8.5, MasterCard
2.23.42.8.6011, Novus
2.23.42.9, vendor
2.23.42.9.0, GlobeSet
2.23.42.9.1, IBM
2.23.42.9.10, Griffin
2.23.42.9.11, Certicom
2.23.42.9.12, OSS
2.23.42.9.13, TenthMountain
2.23.42.9.14, Antares
2.23.42.9.15, ECC
2.23.42.9.16, Maithean
2.23.42.9.17, Netscape
2.23.42.9.18, Verisign
2.23.42.9.19, BlueMoney
2.23.42.9.2, CyberCash
2.23.42.9.20, Lacerte
2.23.42.9.21, Fujitsu
2.23.42.9.22, eLab
2.23.42.9.23, Entrust
2.23.42.9.24, VIAnet
2.23.42.9.25, III
2.23.42.9.26, OpenMarket
2.23.42.9.27, Lexem
2.23.42.9.28, Intertrader
2.23.42.9.29, Persimmon
2.23.42.9.3, Terisa
2.23.42.9.30, NABLE
2.23.42.9.31, espace-net
2.23.42.9.32, Hitachi
2.23.42.9.33, Microsoft
2.23.42.9.34, NEC
2.23.42.9.35, Mitsubishi
2.23.42.9.36, NCR
2.23.42.9.37, e-COMM
2.23.42.9.38, Gemplus
2.23.42.9.4, RSADSI
2.23.42.9.5, VeriFone
2.23.42.9.6, TrinTech
2.23.42.9.7, BankGate
2.23.42.9.8, GTE
2.23.42.9.9, CompuSource
2.5.29.1, authorityKeyIdentifier
2.5.29.10, basicConstraints
2.5.29.11, nameConstraints
2.5.29.12, policyConstraints
2.5.29.13, basicConstraints
2.5.29.14, subjectKeyIdentifier
2.5.29.15, keyUsage
2.5.29.16, privateKeyUsagePeriod
2.5.29.17, subjectAltName
2.5.29.18, issuerAltName
2.5.29.19, basicConstraints
2.5.29.2, keyAttributes
2.5.29.20, cRLNumber
2.5.29.21, cRLReason
2.5.29.22, expirationDate
2.5.29.23, instructionCode
2.5.29.24, invalidityDate
2.5.29.25, cRLDistributionPoints
2.5.29.26, issuingDistributionPoint
2.5.29.27, deltaCRLIndicator
2.5.29.28, issuingDistributionPoint
2.5.29.29, certificateIssuer
2.5.29.3, certificatePolicies
2.5.29.30, nameConstraints
2.5.29.31, cRLDistributionPoints
2.5.29.32, certificatePolicies
2.5.29.32.0, anyPolicy
2.5.29.33, policyMappings
2.5.29.34, policyConstraints
2.5.29.35, authorityKeyIdentifier
2.5.29.36, policyConstraints
2.5.29.37, extKeyUsage
2.5.29.37.0, anyExtendedKeyUsage
2.5.29.4, keyUsageRestriction
2.5.29.46, freshestCRL
2.5.29.5, policyMapping
2.5.29.54, inhibitAnyPolicy
2.5.29.6, subtreesConstraint
2.5.29.7, subjectAltName
2.5.29.8, issuerAltName
2.5.29.9, subjectDirectoryAttributes
2.5.4.0, objectClass
2.5.4.1, aliasObjectName
2.5.4.10, organizationName
2.5.4.10.1, collectiveOrganizationName
2.5.4.11, organizationalUnitName
2.5.4.11.1, collectiveOrganizationalUnitName
2.5.4.12, title
2.5.4.13, description
2.5.4.14, searchGuide
2.5.4.15, businessCategory
2.5.4.16, postalAddress
2.5.4.16.1, collectivePostalAddress
2.5.4.17, postalCode
2.5.4.17.1, collectivePostalCode
2.5.4.18, postOfficeBox
2.5.4.18.1, collectivePostOfficeBox
2.5.4.19, physicalDeliveryOfficeName
2.5.4.19.1, collectivePhysicalDeliveryOfficeName
2.5.4.2, knowledgeInformation
2.5.4.20, telephoneNumber
2.5.4.20.1, collectiveTelephoneNumber
2.5.4.21, telexNumber
2.5.4.21.1, collectiveTelexNumber
2.5.4.22, teletexTerminalIdentifier
2.5.4.22.1, collectiveTeletexTerminalIdentifier
2.5.4.23, facsimileTelephoneNumber
2.5.4.23.1, collectiveFacsimileTelephoneNumber
2.5.4.24, x121Address
2.5.4.25, internationalISDNNumber
2.5.4.25.1, collectiveInternationalISDNNumber
2.5.4.26, registeredAddress
2.5.4.27, destinationIndicator
2.5.4.28, preferredDeliveryMehtod
2.5.4.29, presentationAddress
2.5.4.3, commonName
2.5.4.30, supportedApplicationContext
2.5.4.31, member
2.5.4.32, owner
2.5.4.33, roleOccupant
2.5.4.34, seeAlso
2.5.4.35, userPassword
2.5.4.36, userCertificate
2.5.4.37, caCertificate
2.5.4.38, authorityRevocationList
2.5.4.39, certificateRevocationList
2.5.4.4, surname
2.5.4.40, crossCertificatePair
2.5.4.41, givenName
2.5.4.42, givenName
2.5.4.43, initials
2.5.4.44, generationQualifier
2.5.4.45, uniqueIdentifier
2.5.4.46, dnQualifier
2.5.4.47, enhancedSearchGuide
2.5.4.48, protocolInformation
2.5.4.49, distinguishedName
2.5.4.5, serialNumber
2.5.4.50, uniqueMember
2.5.4.51, houseIdentifier
2.5.4.52, supportedAlgorithms
2.5.4.53, deltaRevocationList
2.5.4.54, dmdName
2.5.4.55, clearance
2.5.4.56, defaultDirQop
2.5.4.57, attributeIntegrityInfo
2.5.4.58, crossCertificatePair
2.5.4.59, attributeCertificateRevocationList
2.5.4.6, countryName
2.5.4.60, confKeyInfo
2.5.4.61, aACertificate
2.5.4.62, attributeDescriptorCertificate
2.5.4.63, attributeAuthorityRevocationList
2.5.4.64, familyInformation
2.5.4.65, pseudonym
2.5.4.66, communicationsService
2.5.4.67, communicationsNetwork
2.5.4.68, certificationPracticeStmt
2.5.4.69, certificatePolicy
2.5.4.7, localityName
2.5.4.7.1, collectiveLocalityName
2.5.4.70, pkiPath
2.5.4.71, privPolicy
2.5.4.72, role
2.5.4.73, delegationPath
2.5.4.8, stateOrProvinceName
2.5.4.8.1, collectiveStateOrProvinceName
2.5.4.9, streetAddress
2.5.4.9.1, collectiveStreetAddress
2.5.6.0, top
2.5.6.1, alias
2.5.6.10, residentialPerson
2.5.6.11, applicationProcess
2.5.6.12, applicationEntity
2.5.6.13, dSA
2.5.6.14, device
2.5.6.15, strongAuthenticationUser
2.5.6.16, certificateAuthority
2.5.6.17, groupOfUniqueNames
2.5.6.2, country
2.5.6.21, pkiUser
2.5.6.22, pkiCA
2.5.6.3, locality
2.5.6.4, organization
2.5.6.5, organizationalUnit
2.5.6.6, person
2.5.6.7, organizationalPerson
2.5.6.8, organizationalRole
2.5.6.9, groupOfNames
2.5.8, X.500-Algorithms
2.5.8.1, X.500-Alg-Encryption
2.5.8.1.1, rsa
